applied_date,current_stage,id,status
2026-07-29,Onsite,APP-2ff3cde4-6aa4-4c9f-9217-04753d959e3f,Rejected
2026-07-29,Screen,APP-b74eba93-1027-4b53-a285-b2efcfbe4fe9,In Progress
2026-07-29,Offer,APP-be4969ec-6667-43bb-a3b5-63606fdc0bad,In Progress
2026-07-29,Offer,APP-ba108217-0ad7-49a2-b277-16ec59fefbbc,Hired
2026-07-29,Technical,APP-a6499cdc-507b-4072-a5e5-8f345df06e8c,Hired
2026-07-29,Onsite,APP-b5a5f8e6-b639-4f04-a852-4385d9f2dd0d,Withdrawn
2026-07-29,Screen,APP-20156a72-12e1-43a6-932c-ae01d2c65ee4,Hired
2026-07-29,Offer,APP-4a27ebf2-8baa-4744-a08d-d21be3954cb1,Hired
2026-07-29,Onsite,APP-d7c4fe9c-e1e0-4ffc-98f6-fd7f7eb162f1,In Progress
2026-07-29,Screen,APP-c3affcfe-734a-4ca3-8116-e3fc62e7c1a6,Hired
2026-07-29,Offer,APP-901bcdef-b56f-48ce-bd66-971e88476c56,Hired
2026-07-29,Onsite,APP-2c55aef7-f4e9-4734-9052-1700607796a3,In Progress
2026-07-29,Onsite,APP-89e03e22-d3f4-449b-b3ba-ba8836c7d6fa,Hired
2026-07-29,Onsite,APP-a689b424-7a3a-40e1-b9c7-73a0e0decc3d,Withdrawn
2026-07-29,Offer,APP-f0458043-e3a6-4a70-be71-0b558639bd41,Withdrawn
2026-07-29,Technical,APP-669d01ff-1634-425b-93f3-007383e96ef4,Rejected
2026-07-29,Technical,APP-78883058-e9ad-4e9b-8c9a-a1e9b3b26337,Withdrawn
2026-07-29,Offer,APP-1dc1e7eb-711c-4673-8535-1a69dabf984e,Withdrawn
2026-07-29,Technical,APP-59077299-dc3b-4dd8-a74e-02a9220b9ea9,Rejected
2026-07-29,Onsite,APP-d0d75e37-3bf2-425f-8a0d-2b73fe54ee4b,Hired
2026-07-29,Screen,APP-73253aa3-ec17-4298-943d-f5b3a58e83dd,Hired
2026-07-29,Onsite,APP-b8f0188e-fb37-4fae-8d85-63ca193e638d,In Progress
2026-07-29,Screen,APP-0f09105c-f50d-4a37-a44d-9fecfd85d7fa,Rejected
2026-07-29,Screen,APP-01b158e9-0406-4f44-bce4-0679a8c6dbc0,In Progress
2026-07-29,Screen,APP-c8cce2c2-a518-4418-af14-b3f6d867888b,Hired
2026-07-29,Offer,APP-1375ee90-d6b3-41e4-bb6d-ca0d6fe5040b,Hired
2026-07-29,Onsite,APP-71da35b9-4eea-4db8-b165-d77901547950,Hired
2026-07-29,Technical,APP-3f2086c2-f1b8-4d65-806f-64d65c72aebd,In Progress
2026-07-29,Onsite,APP-65f30779-f6ee-4cdb-ad79-a2d1506e50c7,Hired
2026-07-29,Offer,APP-fd9e8e20-72f6-4958-92ef-61016082786f,In Progress
2026-07-29,Onsite,APP-51a40d2a-73d3-4457-b25f-13dfb8d49848,Rejected
2026-07-29,Offer,APP-8f5242d3-54bb-4cf8-a8fe-a7618d49fe3f,In Progress
2026-07-29,Onsite,APP-9e0b7b01-7536-49ef-9873-dad95a1baf0e,Withdrawn
2026-07-29,Technical,APP-b184d1fc-8991-401a-a2b0-3c4b7c966b55,Withdrawn
2026-07-29,Onsite,APP-465cc2cb-085e-4489-8ac6-678038749f3c,Withdrawn
2026-07-29,Onsite,APP-52daf681-2b1a-476c-89ec-bc5198cbaa52,Hired
2026-07-29,Technical,APP-37c3b3c9-65d0-4517-88d0-0abdcbb18c79,In Progress
2026-07-29,Screen,APP-eec71a30-dfda-45b2-a8b2-bf214d470ed6,Hired
2026-07-29,Offer,APP-bf8e8bfa-a0c9-4a72-b68a-cd40b8f14e3c,Withdrawn
2026-07-29,Screen,APP-7eb0f62a-3d45-44eb-b465-5a21cb35097a,In Progress
2026-07-29,Screen,APP-6c6f6d2e-6a59-4043-8461-52348044beb2,In Progress
2026-07-29,Screen,APP-4f2da233-0e16-4b12-9bdc-70d19cbf7b8c,Withdrawn
2026-07-29,Onsite,APP-911f730b-dbff-40b0-bfe6-70f30e3141ec,Withdrawn
2026-07-29,Offer,APP-8409c5ea-cde9-48b3-b922-a7e42de982f8,Rejected
2026-07-29,Technical,APP-4eb9047d-ba2a-43d9-bcf2-fc3bd95874c2,Rejected
2026-07-29,Offer,APP-d9d57b02-42d0-4d55-8aab-47b23c9d128a,Hired
2026-07-29,Technical,APP-67863fb3-f3bc-4a71-87f4-fee52c82989f,In Progress
2026-07-29,Technical,APP-5a9c0679-2c3d-47e2-ad39-da75aee70ab2,Withdrawn
2026-07-29,Screen,APP-07806e71-3811-4519-98dc-9e0b51a1f5df,Hired
2026-07-29,Screen,APP-9a069295-3b8d-4447-8e61-065f171b1b80,Withdrawn
2026-07-29,Screen,APP-2099e71f-4b65-4bcc-b041-6f19bbe71835,Withdrawn
2026-07-29,Offer,APP-f8170ebf-6b6e-44c5-bb8a-a843702f31e5,Withdrawn
2026-07-29,Technical,APP-2a3d418d-a754-429f-b143-e5456e6b34b9,In Progress
2026-07-29,Offer,APP-4ab427e3-a360-4681-abbb-a89d34fadee1,Rejected
2026-07-29,Technical,APP-da9bccc1-e71c-481a-a511-e61a143665f5,Rejected
2026-07-29,Technical,APP-1cce08e9-6b6a-4061-881c-8d3185c69fbf,In Progress
2026-07-29,Screen,APP-7c4f48e4-a7a0-4a3d-a20f-230b439e754c,In Progress
2026-07-29,Offer,APP-e9d6bb7e-361d-4014-b114-56de301c8db3,In Progress
2026-07-29,Offer,APP-7233d5af-9813-4da1-bd21-20ad5f59fb4d,Withdrawn
2026-07-29,Offer,APP-da018d29-6060-41eb-a53e-5f4c6c7e9a2c,Hired
2026-07-29,Technical,APP-a91883fc-6772-4e9f-999b-c859cf5e0f0b,Hired
2026-07-29,Technical,APP-e4917f7d-91c4-4efc-bcb8-96bb68c0cbef,In Progress
2026-07-29,Technical,APP-a06e8de5-010e-4265-ad3f-5dd4049626ba,Withdrawn
2026-07-29,Offer,APP-a689d07f-b60b-4f87-9dd8-effc1f878b32,Rejected
2026-07-29,Technical,APP-19d9d0b5-a962-4996-abbe-3b5a4d15f7d8,Hired
2026-07-29,Screen,APP-439db29d-4bc8-4c16-ba2f-bd74fd1935cc,In Progress
2026-07-29,Screen,APP-700e0efc-e4ff-431a-9b86-ea6954231dbe,Hired
2026-07-29,Offer,APP-7b5fbe41-3fa2-4de0-ba05-dd0fa9660a5a,Hired
2026-07-29,Offer,APP-db496e6d-1688-482f-b2b6-96ca92b26acd,In Progress
2026-07-29,Onsite,APP-f34a7949-74ca-4ad7-abe5-be96a7939a2e,Hired
2026-07-29,Offer,APP-87c5f526-011c-4544-bfb3-3be5f6bf2f72,Rejected
2026-07-29,Screen,APP-2d852212-f554-41f8-b9a5-5cf2a66c0fa1,Hired
2026-07-29,Offer,APP-318910ec-f6db-42b6-b993-ff63c6b18d94,Hired
2026-07-29,Technical,APP-515f352c-b52a-4e6b-88b6-48e012a850c5,Withdrawn
2026-07-29,Technical,APP-5c5d3f1b-54c0-46c2-94f6-516ea9d049dc,Hired
2026-07-29,Technical,APP-8ede9b46-407d-4aff-8b51-a9112d90e4ee,Rejected
2026-07-29,Screen,APP-f7222fbe-ea06-494b-a310-ff72ad62d094,Hired
2026-07-29,Technical,APP-5b6d6b7c-54b2-4582-b398-1e9e7cb882a0,Withdrawn
2026-07-29,Screen,APP-e2e6e7a6-bbc9-4473-8363-589c32495cff,Rejected
2026-07-29,Offer,APP-82aa5c46-8049-4bbf-b6f6-a77822460ac9,Rejected
2026-07-29,Screen,APP-7cd61da4-c2ef-4a8b-b804-87860a58f43c,Withdrawn
2026-07-29,Offer,APP-de22dc3f-d136-4db1-9a57-860767e54646,Hired
2026-07-29,Screen,APP-293fc266-97a4-48b8-92d0-031920bd1422,Withdrawn
2026-07-29,Offer,APP-af82e70c-b964-4e4f-aaef-cf3b43b7a0ef,Hired
2026-07-29,Offer,APP-f00f63ef-e59f-41c2-804e-a81ad3d877a8,In Progress
2026-07-29,Onsite,APP-3b85f6e1-c40f-4405-ba25-ed81412817eb,Rejected
2026-07-29,Screen,APP-c93c9cc6-668b-48da-8222-cd7f36e6ba85,Hired
2026-07-29,Screen,APP-848ac924-3347-4a91-9609-598e67cba27a,Rejected
2026-07-29,Offer,APP-c68da4b2-f613-4da0-96f4-01e5c1e9c4fa,In Progress
2026-07-29,Screen,APP-66205167-17cf-475f-898b-cf673f8dcf96,Hired
2026-07-29,Offer,APP-c3a6b204-fc01-4a22-aed0-b0b27da56b6e,Hired
2026-07-29,Onsite,APP-c08fe6d7-b361-470a-ab49-acc635e574e0,Hired
2026-07-29,Onsite,APP-8eb7c306-8f73-498e-9c3d-0d5f5c6801d6,Hired
2026-07-29,Offer,APP-18763576-1a5e-4196-a5a4-c79b2abaa4f9,Rejected
2026-07-29,Offer,APP-dd3ee854-5340-44b0-aa4f-4a80dc412176,In Progress
