date,id,interview_type,outcome,round_number
2026-08-07,INT-0b251279-785a-45d0-9f92-a62163f4c69d,Panel,Fail,1
2026-08-01,INT-e2c328aa-3310-4475-8a86-22250b36e356,Panel,Fail,1
2026-08-12,INT-7930ba20-8b04-4f49-90be-73eefd372539,Behavioral,Borderline,2
2026-08-05,INT-5e0a72ab-7f5d-4163-b12b-66807f072cb9,Behavioral,Borderline,1
2026-08-08,INT-febec0db-9a3a-4103-ae3c-453214348f62,Panel,Fail,2
2026-08-06,INT-67fd64c4-a334-458a-abd2-b5121335e5db,Technical,Pass,1
2026-08-07,INT-848af440-7fc1-4858-afa0-d842bc55300b,Behavioral,Fail,1
2026-08-03,INT-cac4d0eb-3373-430e-bc31-a5971f119c0f,Technical,Fail,1
2026-08-18,INT-5e70f65f-9280-45aa-8dd4-595b5c63b6f3,Technical,Borderline,2
2026-08-03,INT-20da8972-5832-4ee4-8471-b4b0ae1b9f69,Technical,Fail,1
2026-08-12,INT-272c0588-84a2-476c-9fc9-05f8d4d60735,Technical,Pass,2
2026-08-19,INT-5894f7f1-39b8-4bb2-b596-ca7cef4afa88,Behavioral,Fail,3
2026-08-18,INT-46426c45-8d03-417a-b4d3-75c1a29319fa,Panel,Borderline,4
2026-08-01,INT-b048faa1-12ae-4c22-b41b-77f54c24a053,Technical,Fail,1
2026-08-08,INT-5716dc2e-343a-4a2a-b6e5-ae787bf7e1d3,Panel,Borderline,2
2026-08-25,INT-586a346a-dc5b-47d1-bcef-1972bbf483ce,Technical,Fail,3
2026-08-26,INT-1f5d988f-776a-4f09-bde2-885951b1943c,Hiring Manager,Pass,4
2026-08-05,INT-22498f66-6e51-484d-9b84-edc3d8e049de,Panel,Fail,1
2026-08-06,INT-fc9e1dcb-cb7e-4268-9f89-ed1264d6dfbf,Panel,Pass,1
2026-08-07,INT-fada98f5-1c0f-4bdc-ac7e-937c54cc1e2a,Panel,Borderline,1
2026-08-10,INT-f791f1e5-43f9-4d6b-b97e-be8798cf1188,Behavioral,Borderline,2
2026-08-25,INT-b89f7039-a107-4c46-8634-17182ba6adb3,Technical,Borderline,3
2026-08-05,INT-b88e830f-de1e-494a-85a1-1f5cad05b912,Hiring Manager,Pass,1
2026-08-12,INT-3990e2c9-4c6a-40f4-8ede-c44d476cf68c,Panel,Borderline,2
2026-08-28,INT-5129950d-7d2f-4e58-b47a-1c5bb0b39015,Panel,Borderline,3
2026-08-04,INT-3d4196fe-963a-4617-bdab-07e79d9d028e,Behavioral,Borderline,1
2026-08-02,INT-c4cb294f-e86e-4e63-8f25-477da55990e7,Technical,Borderline,1
2026-08-08,INT-098c60b3-efc9-409e-99af-6e09b91e3d6e,Hiring Manager,Pass,2
2026-08-28,INT-c9b7c9bc-65a1-4fa9-9611-69a1ff46a6bf,Technical,Borderline,3
2026-08-08,INT-2999394c-54a7-469b-9cd6-6b09cf0e6d2b,Panel,Borderline,1
2026-08-12,INT-ca6fbff8-564c-4bd2-bc92-fd81039b058c,Technical,Pass,2
2026-08-05,INT-01bf9e73-3f80-4385-af92-40b652d78f10,Hiring Manager,Pass,1
2026-08-12,INT-546252e7-f43b-4052-8459-bd6ec0f63229,Behavioral,Fail,2
2026-08-10,INT-aaf407f7-0fe7-4149-bc7e-5368b1594847,Hiring Manager,Fail,3
2026-08-26,INT-ec50ace4-80a5-4e65-afa2-855967c96204,Behavioral,Borderline,4
2026-08-06,INT-b42a0456-8736-4a84-b25e-134d86879aa9,Behavioral,Borderline,1
2026-08-07,INT-21c71aa3-7414-43b5-8e3e-25f2cf0671c7,Hiring Manager,Borderline,1
2026-08-12,INT-ce920136-ac3a-412f-b65e-6cb58f0d5540,Behavioral,Fail,2
2026-08-10,INT-37c86152-beed-4af9-80c5-9f30d1031424,Behavioral,Fail,3
2026-08-10,INT-fe7ee362-8a89-40f0-9052-91d3b34c6c73,Behavioral,Fail,4
2026-08-04,INT-fa8dae42-ba54-4920-a099-d18087623997,Behavioral,Pass,1
2026-08-16,INT-8b60c511-b816-4aeb-ac6a-7c8576876c62,Hiring Manager,Pass,2
2026-08-16,INT-4690fb15-27b6-48dc-989d-ecb075eb89c2,Behavioral,Pass,3
2026-08-10,INT-e23ddfaa-efad-49e9-841c-147e9d6b9b62,Technical,Pass,4
2026-08-04,INT-a903ae67-fc56-4b53-a4ac-b722e0527739,Hiring Manager,Fail,1
2026-08-08,INT-97777f10-f2d2-493f-8e85-140d0f9aeb70,Hiring Manager,Borderline,2
2026-08-25,INT-f10bce9c-582b-41ee-b8e8-035b0c00988a,Panel,Borderline,3
2026-08-01,INT-ac75c344-608e-449e-84b9-e6020d31812e,Behavioral,Pass,1
2026-08-14,INT-e8334da5-de95-4695-b579-c1437ab99428,Panel,Pass,2
2026-08-04,INT-90019ed4-0bb4-41e7-a9f7-53f1501ba851,Technical,Pass,1
2026-08-16,INT-9442b5e6-9583-4d58-af4c-51198da5d39b,Panel,Pass,2
2026-08-16,INT-91ddb9bf-613d-4de9-bae2-802354720d2d,Hiring Manager,Borderline,3
2026-08-04,INT-a175a9c3-d7b1-42a9-a332-a50e6992896e,Behavioral,Borderline,1
2026-08-07,INT-0463750e-4964-4b96-ba3c-1628892621df,Technical,Pass,1
2026-08-12,INT-31227592-3db0-4235-a61e-2555863e1f2a,Panel,Fail,2
2026-08-28,INT-67f1698c-f594-4a54-9f80-4eeb143a9aff,Technical,Borderline,3
2026-08-08,INT-de3ce88b-e6b9-431a-b61f-6d903ad1fa33,Panel,Pass,1
2026-08-08,INT-fe1a1ba9-c896-4c5b-85f8-c28da255e1bb,Hiring Manager,Pass,1
2026-08-07,INT-72e76b51-6e54-4c6d-aff8-e87e16591c89,Behavioral,Pass,1
2026-08-14,INT-98d00c2c-17d3-4f32-8de1-596c5a9a206a,Hiring Manager,Pass,2
2026-08-07,INT-f2e61828-01bb-419c-8dfe-111722af711f,Panel,Borderline,1
2026-08-07,INT-d105c8d6-47c1-4017-a045-2909536d47d7,Panel,Pass,1
2026-08-04,INT-2e0fb5b3-8bae-491e-bf4c-c10f979c30cf,Hiring Manager,Borderline,2
2026-08-06,INT-f7eae66e-ca6c-4f9b-8969-71018b2c550a,Behavioral,Pass,1
2026-08-04,INT-2a9528c3-5ae1-4bad-aa29-60fda85894df,Hiring Manager,Fail,2
2026-08-16,INT-423cad9d-193e-4783-82b3-42541b1f2eb1,Technical,Fail,3
2026-08-18,INT-adf75924-c5b8-486b-b68b-4f7e64215e66,Panel,Pass,4
2026-08-02,INT-a5e15b55-57d3-44dd-9963-dc7205c8234b,Technical,Borderline,1
2026-08-07,INT-a3f66c61-2fb7-4dab-af38-3b43a137f8e4,Hiring Manager,Pass,1
2026-08-04,INT-638abdf6-6df7-4cd3-979a-a0517317591a,Technical,Pass,2
2026-08-10,INT-cbc72f1a-cf08-4a54-b429-9924c0986750,Behavioral,Borderline,3
2026-08-14,INT-75220646-3273-45bf-9373-bf4d5da49cb9,Panel,Borderline,4
2026-08-04,INT-1e2c2e7d-502c-40ee-a24a-66a6ac0f6801,Panel,Pass,1
2026-08-08,INT-d78c57d3-5088-40d3-afe5-b14023ea7956,Behavioral,Fail,1
2026-08-16,INT-d0b1fde0-31f3-40c0-a2f3-f0687c0f549d,Hiring Manager,Fail,2
2026-08-28,INT-71a0449d-d703-462f-b5cb-e3f56a66c184,Technical,Pass,3
2026-08-08,INT-c4134dc2-c5c5-4e8a-be15-ad1290ce77e9,Behavioral,Borderline,1
2026-08-14,INT-d2c2a960-8b09-41ab-866d-ceb344945e09,Behavioral,Borderline,2
2026-08-10,INT-6cd6f011-fd61-413b-b7f2-5d368bddcee3,Technical,Fail,3
2026-08-14,INT-dcb91d5f-593c-472b-8347-dbca7321a8b2,Hiring Manager,Pass,4
2026-08-02,INT-fc48f615-83b0-435c-9ba6-fdf8f3d04ffb,Technical,Fail,1
2026-08-08,INT-a7e8d18e-ddf6-44ac-86fe-acd4fe1393cd,Technical,Pass,2
2026-08-25,INT-3f5fbf4f-d417-4230-9274-ee11b61df906,Hiring Manager,Pass,3
2026-08-03,INT-56771f36-4899-4e5f-940e-53ce52a74a41,Hiring Manager,Fail,1
2026-08-18,INT-197dbae1-0bc2-4a72-8c64-8ca2c3231466,Behavioral,Pass,2
2026-08-25,INT-fde91c42-002c-4c22-b4de-5f7070f81dba,Technical,Borderline,3
2026-08-03,INT-e75f745a-aa1d-4fc6-9f31-273d1519830c,Behavioral,Fail,1
2026-08-10,INT-c156e501-b30e-46e8-b9da-5f8c4e35da80,Hiring Manager,Borderline,2
2026-08-28,INT-36a2c52b-0047-4139-985d-f528b4258e19,Behavioral,Pass,3
2026-08-02,INT-e5871d89-1631-4fc6-b79d-58f9dc268108,Technical,Pass,1
2026-08-08,INT-50834fef-6dec-4bbd-b697-77a159fe3d53,Technical,Fail,2
2026-08-19,INT-999a1d86-99db-4302-8dab-66d33f87dfc2,Behavioral,Borderline,3
2026-08-22,INT-82701238-9b5f-4f39-848b-34f034981735,Hiring Manager,Fail,4
2026-08-01,INT-873dc8bd-122d-47be-980b-c81ea3595d1f,Panel,Fail,1
2026-08-16,INT-91816091-d6c6-445c-9c5e-4e786307d4d1,Panel,Borderline,2
2026-08-10,INT-fcc4091b-f457-47c6-b894-6a15c34201db,Behavioral,Borderline,3
2026-08-10,INT-0a3217d2-373a-4df8-831e-930f0387f74d,Hiring Manager,Borderline,4
2026-08-04,INT-143ac1c5-4f56-4ed5-9566-9e364708203b,Technical,Borderline,1
2026-08-06,INT-c362a810-a261-4b8d-9620-bee66406face,Panel,Borderline,2
2026-08-06,INT-7f14eafa-29f0-4f7c-82e7-df89b3957a98,Panel,Pass,1
2026-08-12,INT-df9b141e-c7f7-4da1-bff1-5840207e863f,Behavioral,Pass,2
2026-08-02,INT-92ebeab0-e4ee-467c-9a57-f9e4c5f8e2f8,Technical,Borderline,1
2026-08-10,INT-03254fbd-dce8-41c5-9bd3-0aec0b461173,Behavioral,Fail,2
2026-08-07,INT-2dd0622e-266b-42ea-ab93-f78c620af158,Hiring Manager,Pass,3
2026-08-05,INT-d847dc53-c605-458a-8845-4343ddb449dc,Panel,Pass,1
2026-08-12,INT-335f2f59-5e71-4fca-820a-449774ed5145,Panel,Borderline,2
2026-08-28,INT-97790e84-5e47-4e22-b6c3-e6423e19fc1d,Technical,Borderline,3
2026-08-10,INT-268b84b6-3ec0-4285-8bc4-ec0ec2aef674,Hiring Manager,Pass,4
2026-08-03,INT-0f554896-f610-496b-bdf5-9abf6b790d01,Panel,Pass,1
2026-08-16,INT-d872f72e-e5b4-41ae-bb41-c943ebd8a3b1,Panel,Fail,2
2026-08-04,INT-131eb723-3bcd-4203-859e-e67473e7f042,Technical,Borderline,1
2026-08-18,INT-7316ce64-2a14-4a96-9b0c-62eb27c8fc6c,Panel,Fail,2
2026-08-16,INT-c534ca08-f6f2-4d1c-9bb8-b9c8893259f3,Hiring Manager,Fail,3
2026-08-02,INT-23c97a1e-cb37-4d97-8dcc-2d6a1a16998c,Behavioral,Pass,1
2026-08-14,INT-668c879b-d2dc-42c8-b2b8-d8aa21768dd7,Behavioral,Borderline,2
2026-08-10,INT-0594b24f-1332-4c31-9010-318aeadc9960,Technical,Borderline,3
2026-08-30,INT-e7b33085-178b-4968-a0f8-7ba2cf2e3296,Behavioral,Pass,4
2026-08-04,INT-08dec921-260c-4547-a228-0fe3722dce13,Panel,Fail,1
2026-08-06,INT-0f9c5300-7aa1-4567-8cf9-eea9e1fdc6d1,Panel,Fail,2
2026-08-16,INT-e2789642-a484-4035-b30f-aaa36b52f93c,Behavioral,Fail,3
2026-08-03,INT-3b964c74-ffe6-4994-9580-4c2ac44fc4b8,Behavioral,Pass,1
2026-08-04,INT-ca8e858c-d0f8-4063-889f-e107443b1d0f,Technical,Borderline,2
2026-08-13,INT-fdd5b0f8-d6d7-44fd-af69-a9805ad479ef,Technical,Pass,3
2026-08-04,INT-9d37efb6-eafb-4e90-94ec-84ce002ccb25,Technical,Fail,1
2026-08-14,INT-de4379cb-d823-4076-8d6b-b03beb3537a0,Behavioral,Pass,2
2026-08-10,INT-24435958-eacf-43a9-b466-fab6962c04dd,Panel,Pass,3
2026-08-14,INT-6545c030-a981-4a54-b121-e129b45c9a54,Panel,Fail,4
2026-08-01,INT-f7164b73-c555-43ed-be89-56c8d9cb3540,Technical,Borderline,1
2026-08-10,INT-9c8379ae-f7b0-4805-8f0d-f860ebc92914,Behavioral,Fail,2
2026-08-22,INT-3ced4d1f-13eb-42c9-bece-d21a54c7743b,Panel,Pass,3
2026-08-30,INT-a39c3bd5-ab86-4afd-b57e-c883d2586d90,Hiring Manager,Pass,4
2026-08-08,INT-19f738cb-6016-4743-8bc8-3a0259ea4936,Technical,Pass,1
2026-08-12,INT-088dbd82-d883-43f8-8c98-03de12de9e5a,Behavioral,Fail,2
2026-08-13,INT-5780be17-12fe-4c2b-9acf-42c5f3a02120,Hiring Manager,Pass,3
2026-08-14,INT-fa60ede1-e5eb-472d-b11c-0ac58c0b393a,Panel,Borderline,4
2026-08-07,INT-30a2cee8-f972-4cc1-b49e-f4a954c29d5c,Panel,Borderline,1
2026-08-05,INT-7d3572cc-788f-40cd-a5c0-6b93c8edabdd,Behavioral,Borderline,1
2026-08-14,INT-61a66444-e2af-4629-9efb-336e2f546033,Technical,Fail,2
2026-08-16,INT-436e3c49-770e-49db-b092-d40143675d58,Panel,Borderline,3
