base_salary,bonus,decision,decision_date,equity,extended_date,id
88812,12003,Accepted,2026-08-17,15466,2026-08-14,OFF-08e895d7-702c-4821-8804-0fb7ad973b67
144382,4018,Accepted,2026-09-04,13118,2026-09-01,OFF-491b90e9-9ca3-4bb3-bf11-c8ba36ee1640
102439,19829,Accepted,2026-08-17,43170,2026-08-14,OFF-94a53fde-f10d-47c8-9780-c2152b2bb8e9
100885,16866,Accepted,2026-08-19,32654,2026-08-16,OFF-500e15c0-b89b-4f7f-93e3-4c35ef0a573d
97961,10913,Accepted,2026-08-14,46765,2026-08-11,OFF-0b990034-0a4e-4552-8005-1b1066c14dca
141814,2040,Accepted,2026-08-29,48223,2026-08-26,OFF-690e7e62-3432-4ec6-b0c4-a01c69b7c0fa
141918,4504,Accepted,2026-09-04,6589,2026-09-01,OFF-548e1f6b-69ce-4e4e-99a6-92c90d700ea4
142065,7384,Accepted,2026-08-30,15792,2026-08-27,OFF-c12169db-2f12-4150-a05f-b1eb4cc57e0d
142773,19805,Accepted,2026-09-06,15898,2026-09-03,OFF-bf337a15-1e08-4f20-bdd1-51b0f64ab6ec
84312,10305,Accepted,2026-09-03,11754,2026-08-31,OFF-90422eb7-8b04-4f53-a639-49d447c68688
129816,9678,Accepted,2026-08-31,5616,2026-08-28,OFF-ae007b7e-2f8c-43e5-ae8d-9644601bfbcb
111816,17075,Accepted,2026-08-30,37483,2026-08-27,OFF-e6b0da0a-b98f-4dbe-95ae-de0fc777a07f
133627,16361,Accepted,2026-09-08,44104,2026-09-05,OFF-11b461e9-b15d-472d-94ce-e27c4a94ae9f
92202,16895,Accepted,2026-08-15,26401,2026-08-12,OFF-73b5bad5-600b-4b35-aa0a-a7d5a0b85755
93425,10267,Accepted,2026-08-15,6763,2026-08-12,OFF-6210def6-3a9c-4308-9221-cddf7a4a902f
91955,8133,Accepted,2026-08-17,46606,2026-08-14,OFF-53ea4919-db48-42c2-95ff-2a1f370b9a29
126095,18468,Accepted,2026-08-13,37201,2026-08-10,OFF-9770a3db-e9fa-47e2-9bd9-3609b297a782
116291,9790,Accepted,2026-08-23,17114,2026-08-20,OFF-a3fe0479-46c7-4b36-bd05-39635616af7e
120250,10856,Accepted,2026-09-09,27556,2026-09-06,OFF-be848aa2-392c-44da-9af3-da5a38e59b27
107222,15750,Accepted,2026-11-15T00:00:00,45102,2026-11-10T00:00:00,OFF-8c52d271-0a16-4e18-a90e-3e894b9c22f4
127002,944,Accepted,2026-08-25,40065,2026-08-22,OFF-9c7faca6-2e67-4784-b02b-7014adab2c2f
86599,7297,Accepted,2026-08-21,33222,2026-08-18,OFF-f85b6d0a-54b5-4635-bdab-161452150ed8
129006,3483,Accepted,2026-08-29,46012,2026-08-26,OFF-8c357321-4abf-4f5c-8cc7-147ff6e5203c
153647,18391,Accepted,2026-09-03,14700,2026-08-31,OFF-de3790fb-9db9-4eee-9a3c-213173dd3bc6
122287,1666,Accepted,2026-08-17,39117,2026-08-14,OFF-0a398bf7-27a1-48a0-afff-a2f4b5ae329d
107941,13900,Accepted,2026-09-02,44918,2026-08-30,OFF-ab9b153d-35f5-4654-90c2-c2e5a07eafb1
140458,18011,Accepted,2026-08-30,42249,2026-08-27,OFF-fd75a5f3-eeaf-4a83-8044-46bfd9f48bbd
158908,3877,Accepted,2026-08-24,47009,2026-08-21,OFF-28489240-2fd9-4ce1-a676-27ca3625fc20
158618,17413,Accepted,2026-09-10,2558,2026-09-07,OFF-79d29001-2d6b-4a4e-98a7-06099b02c535
84405,16729,Accepted,2026-08-19,39289,2026-08-16,OFF-4937b90f-84a5-418b-8dcd-0a34ee462fcd
126665,3495,Accepted,2026-08-20,10223,2026-08-17,OFF-d5bea8dc-33e8-4249-baad-584034ef71df
107623,19038,Accepted,2026-09-03,24866,2026-08-31,OFF-0306a258-0227-48d5-b070-1a5350ce857f
121383,9831,Accepted,2026-09-05,31891,2026-09-02,OFF-88b3152d-845a-41b8-a172-6883d9719e00
131833,14578,Accepted,2026-09-02,17776,2026-08-30,OFF-9afa8267-4479-4214-b5de-f8074a965478
