rel_type,source_id,source_type,target_id,target_type
ABOUT,REV-3dba6da8-5844-49fc-914b-9547c9dc72b8,Review,JOB-6c9f82b9-f647-4986-a391-7c994c955f6a,JobPosting
ABOUT,REV-dda4f4a7-0c3c-4284-87e5-3bbbdcb51c53,Review,JOB-7c93f6cc-97d7-4560-adb1-4670ad9fb00d,JobPosting
ABOUT,REV-7227890e-4e76-433a-8baf-0f5ea9320094,Review,JOB-9e3d750d-f296-49f0-8d23-72c22bffe17b,JobPosting
ABOUT,REV-b807d78a-b788-45d1-bfe5-75f665edcfe3,Review,JOB-5fbbf0b1-8083-49c8-a57e-01c90da23e5c,JobPosting
ABOUT,REV-43c07d43-93a7-4792-8561-b8dca4364fcd,Review,CMP-4,Company
ABOUT,REV-dd39d793-6257-44a2-b204-be894a4b5563,Review,JOB-6778043b-c5c5-437a-b85e-06a11dad09b2,JobPosting
ABOUT,REV-31d4ee09-8fd3-4afc-91fd-fa4f0d18ab95,Review,JOB-11b7e948-d0e6-4660-bc69-dee1bb5e4bcf,JobPosting
ABOUT,REV-30d73df7-1c22-4cea-b355-56a5f2bd92f2,Review,JOB-b2cf952d-a7f3-43b3-b7ba-f55e4f6b58c8,JobPosting
ABOUT,REV-6133a34d-8b0e-4eb1-ad37-1d9e92cf6021,Review,JOB-54170a17-caaa-4bbe-a4bb-f962606e0e1c,JobPosting
ABOUT,REV-33c08bf1-8167-499f-a723-ada38c32bdb2,Review,JOB-f6802cdb-77e4-40c7-9d7b-c313cde22f1c,JobPosting
ABOUT,REV-c40d4874-22ab-4752-84db-5a622e13418d,Review,JOB-9d77a45e-f206-4269-b8b7-7c0780fb9296,JobPosting
ABOUT,REV-ac09bdb7-9908-4e47-b249-f62c08987462,Review,JOB-5fbbf0b1-8083-49c8-a57e-01c90da23e5c,JobPosting
ABOUT,REV-4ef4c34d-5bf8-4f3c-a612-9a1c889d4b76,Review,CMP-3,Company
ABOUT,REV-b93b17fb-f76d-45fd-bd16-45a0d253d966,Review,JOB-65c17795-b155-46bc-9f8d-ed9756abf2f1,JobPosting
ABOUT,REV-0f79a8a7-5f8a-44bd-b4bd-0c938177b661,Review,JOB-8ae8905b-54b4-4482-a858-6eba6a34c854,JobPosting
ABOUT,REV-a75b395a-14a3-4f7f-990d-d19bd3fbe043,Review,JOB-5fbbf0b1-8083-49c8-a57e-01c90da23e5c,JobPosting
ABOUT,REV-d5aba8ae-9112-4bc0-bd8f-95f4905f9096,Review,CMP-9,Company
ABOUT,REV-bd5a0c9e-277e-40aa-a247-541dc8ad0899,Review,CMP-5,Company
ABOUT,REV-6f46f1b1-2ace-4aa9-9032-46b3255bfc1c,Review,CMP-1,Company
ABOUT,REV-15fa9483-f633-4c2d-aba9-00e16a7d5d96,Review,JOB-9e3d750d-f296-49f0-8d23-72c22bffe17b,JobPosting
ABOUT,REV-59c2f153-b06b-4f0c-9682-2e22bcd4344f,Review,JOB-8ae8905b-54b4-4482-a858-6eba6a34c854,JobPosting
ABOUT,REV-d8dff535-c62d-4aea-9e70-bd3000a21367,Review,CMP-5,Company
ABOUT,REV-02106371-0260-4123-b1ef-e72aae13591e,Review,JOB-a5cb63a2-398d-4ca6-8b68-70b51d61fac3,JobPosting
