rel_type,source_id,source_type,target_id,target_type
CONDUCTED_BY,INT-0b251279-785a-45d0-9f92-a62163f4c69d,Interview,INTV-e776b886-d534-4e1d-bf29-84f5bec39a37,Interviewer
CONDUCTED_BY,INT-e2c328aa-3310-4475-8a86-22250b36e356,Interview,INTV-13eecdc6-ebd1-4d2c-b5b2-745504cc3ede,Interviewer
CONDUCTED_BY,INT-7930ba20-8b04-4f49-90be-73eefd372539,Interview,INTV-6fac1673-0ad4-4230-bdf6-6ba5dc9c96de,Interviewer
CONDUCTED_BY,INT-5e0a72ab-7f5d-4163-b12b-66807f072cb9,Interview,INTV-5970a859-c6b6-44ad-a7ea-8d5a31a3ac4d,Interviewer
CONDUCTED_BY,INT-febec0db-9a3a-4103-ae3c-453214348f62,Interview,INTV-828c37e7-87d5-47be-9d30-d990a21b0307,Interviewer
CONDUCTED_BY,INT-67fd64c4-a334-458a-abd2-b5121335e5db,Interview,INTV-8bcf53a1-bc10-4a52-bf5d-2fdf89c8d2ab,Interviewer
CONDUCTED_BY,INT-848af440-7fc1-4858-afa0-d842bc55300b,Interview,INTV-48f9e3d0-1fea-41e0-99e6-04b38412a335,Interviewer
CONDUCTED_BY,INT-cac4d0eb-3373-430e-bc31-a5971f119c0f,Interview,INTV-9bdf90f2-ba2c-4f19-b0b2-a5d18c7e6f42,Interviewer
CONDUCTED_BY,INT-5e70f65f-9280-45aa-8dd4-595b5c63b6f3,Interview,INTV-9bdf90f2-ba2c-4f19-b0b2-a5d18c7e6f42,Interviewer
CONDUCTED_BY,INT-20da8972-5832-4ee4-8471-b4b0ae1b9f69,Interview,INTV-1ac70ec0-ab8d-4eb4-9230-dfbd5553b2fe,Interviewer
CONDUCTED_BY,INT-272c0588-84a2-476c-9fc9-05f8d4d60735,Interview,INTV-6961929e-546e-435a-a92b-d156db946570,Interviewer
CONDUCTED_BY,INT-5894f7f1-39b8-4bb2-b596-ca7cef4afa88,Interview,INTV-1ac70ec0-ab8d-4eb4-9230-dfbd5553b2fe,Interviewer
CONDUCTED_BY,INT-46426c45-8d03-417a-b4d3-75c1a29319fa,Interview,INTV-1ac70ec0-ab8d-4eb4-9230-dfbd5553b2fe,Interviewer
CONDUCTED_BY,INT-b048faa1-12ae-4c22-b41b-77f54c24a053,Interview,INTV-f27292b6-7621-42ed-9d0b-c9bde9b5c5cf,Interviewer
CONDUCTED_BY,INT-5716dc2e-343a-4a2a-b6e5-ae787bf7e1d3,Interview,INTV-f27292b6-7621-42ed-9d0b-c9bde9b5c5cf,Interviewer
CONDUCTED_BY,INT-586a346a-dc5b-47d1-bcef-1972bbf483ce,Interview,INTV-d7665cda-fe04-4059-b985-fb6217dc8eff,Interviewer
CONDUCTED_BY,INT-1f5d988f-776a-4f09-bde2-885951b1943c,Interview,INTV-d7665cda-fe04-4059-b985-fb6217dc8eff,Interviewer
CONDUCTED_BY,INT-22498f66-6e51-484d-9b84-edc3d8e049de,Interview,INTV-a18ff6b6-b535-406e-922c-9a5601d74256,Interviewer
CONDUCTED_BY,INT-fc9e1dcb-cb7e-4268-9f89-ed1264d6dfbf,Interview,INTV-1ac70ec0-ab8d-4eb4-9230-dfbd5553b2fe,Interviewer
CONDUCTED_BY,INT-fada98f5-1c0f-4bdc-ac7e-937c54cc1e2a,Interview,INTV-19e45c6a-c9c2-4e69-982c-75654bb907ec,Interviewer
CONDUCTED_BY,INT-f791f1e5-43f9-4d6b-b97e-be8798cf1188,Interview,INTV-19e45c6a-c9c2-4e69-982c-75654bb907ec,Interviewer
CONDUCTED_BY,INT-b89f7039-a107-4c46-8634-17182ba6adb3,Interview,INTV-19e45c6a-c9c2-4e69-982c-75654bb907ec,Interviewer
CONDUCTED_BY,INT-b88e830f-de1e-494a-85a1-1f5cad05b912,Interview,INTV-19e45c6a-c9c2-4e69-982c-75654bb907ec,Interviewer
CONDUCTED_BY,INT-3990e2c9-4c6a-40f4-8ede-c44d476cf68c,Interview,INTV-19e45c6a-c9c2-4e69-982c-75654bb907ec,Interviewer
CONDUCTED_BY,INT-5129950d-7d2f-4e58-b47a-1c5bb0b39015,Interview,INTV-19e45c6a-c9c2-4e69-982c-75654bb907ec,Interviewer
CONDUCTED_BY,INT-3d4196fe-963a-4617-bdab-07e79d9d028e,Interview,INTV-0d270659-f72a-4a9b-af32-751e5738811d,Interviewer
CONDUCTED_BY,INT-c4cb294f-e86e-4e63-8f25-477da55990e7,Interview,INTV-d1a69d87-f54e-4019-ba35-844e59e1ac09,Interviewer
CONDUCTED_BY,INT-098c60b3-efc9-409e-99af-6e09b91e3d6e,Interview,INTV-828c37e7-87d5-47be-9d30-d990a21b0307,Interviewer
CONDUCTED_BY,INT-c9b7c9bc-65a1-4fa9-9611-69a1ff46a6bf,Interview,INTV-5970a859-c6b6-44ad-a7ea-8d5a31a3ac4d,Interviewer
CONDUCTED_BY,INT-2999394c-54a7-469b-9cd6-6b09cf0e6d2b,Interview,INTV-98a21f1c-914d-4fae-b100-13a7c6deb2f0,Interviewer
CONDUCTED_BY,INT-ca6fbff8-564c-4bd2-bc92-fd81039b058c,Interview,INTV-27d415b6-0d77-45a0-a222-b6a615bfbe97,Interviewer
CONDUCTED_BY,INT-01bf9e73-3f80-4385-af92-40b652d78f10,Interview,INTV-9bdf90f2-ba2c-4f19-b0b2-a5d18c7e6f42,Interviewer
CONDUCTED_BY,INT-546252e7-f43b-4052-8459-bd6ec0f63229,Interview,INTV-9bdf90f2-ba2c-4f19-b0b2-a5d18c7e6f42,Interviewer
CONDUCTED_BY,INT-aaf407f7-0fe7-4149-bc7e-5368b1594847,Interview,INTV-9bdf90f2-ba2c-4f19-b0b2-a5d18c7e6f42,Interviewer
CONDUCTED_BY,INT-ec50ace4-80a5-4e65-afa2-855967c96204,Interview,INTV-9bdf90f2-ba2c-4f19-b0b2-a5d18c7e6f42,Interviewer
CONDUCTED_BY,INT-b42a0456-8736-4a84-b25e-134d86879aa9,Interview,INTV-d2e82f38-a2a9-44d8-902e-fde5a5cc8bf7,Interviewer
CONDUCTED_BY,INT-21c71aa3-7414-43b5-8e3e-25f2cf0671c7,Interview,INTV-7d824264-1ba3-42e7-afa4-15e56d204496,Interviewer
CONDUCTED_BY,INT-ce920136-ac3a-412f-b65e-6cb58f0d5540,Interview,INTV-12d0498d-718d-4d05-a8e2-2743b65feea9,Interviewer
CONDUCTED_BY,INT-37c86152-beed-4af9-80c5-9f30d1031424,Interview,INTV-12d0498d-718d-4d05-a8e2-2743b65feea9,Interviewer
CONDUCTED_BY,INT-fe7ee362-8a89-40f0-9052-91d3b34c6c73,Interview,INTV-7d824264-1ba3-42e7-afa4-15e56d204496,Interviewer
