rel_type,source_id,source_type,target_id,target_type
FOR_POSTING,APP-2ff3cde4-6aa4-4c9f-9217-04753d959e3f,Application,JOB-6c9f82b9-f647-4986-a391-7c994c955f6a,JobPosting
FOR_POSTING,APP-b74eba93-1027-4b53-a285-b2efcfbe4fe9,Application,JOB-7c93f6cc-97d7-4560-adb1-4670ad9fb00d,JobPosting
FOR_POSTING,APP-be4969ec-6667-43bb-a3b5-63606fdc0bad,Application,JOB-9e3d750d-f296-49f0-8d23-72c22bffe17b,JobPosting
FOR_POSTING,APP-ba108217-0ad7-49a2-b277-16ec59fefbbc,Application,JOB-14a0bccb-8a47-4a87-a49d-681d51d87c64,JobPosting
FOR_POSTING,APP-a6499cdc-507b-4072-a5e5-8f345df06e8c,Application,JOB-78116802-c8cc-4cfe-8f01-f944f7315749,JobPosting
FOR_POSTING,APP-b5a5f8e6-b639-4f04-a852-4385d9f2dd0d,Application,JOB-5fbbf0b1-8083-49c8-a57e-01c90da23e5c,JobPosting
FOR_POSTING,APP-20156a72-12e1-43a6-932c-ae01d2c65ee4,Application,JOB-7135f221-a6c9-437f-84da-d06a7872bdeb,JobPosting
FOR_POSTING,APP-4a27ebf2-8baa-4744-a08d-d21be3954cb1,Application,JOB-6778043b-c5c5-437a-b85e-06a11dad09b2,JobPosting
FOR_POSTING,APP-d7c4fe9c-e1e0-4ffc-98f6-fd7f7eb162f1,Application,JOB-11b7e948-d0e6-4660-bc69-dee1bb5e4bcf,JobPosting
FOR_POSTING,APP-c3affcfe-734a-4ca3-8116-e3fc62e7c1a6,Application,JOB-7010f719-7e69-4d0d-8a3c-3b5e801ef1da,JobPosting
FOR_POSTING,APP-901bcdef-b56f-48ce-bd66-971e88476c56,Application,JOB-b2cf952d-a7f3-43b3-b7ba-f55e4f6b58c8,JobPosting
FOR_POSTING,APP-2c55aef7-f4e9-4734-9052-1700607796a3,Application,JOB-54170a17-caaa-4bbe-a4bb-f962606e0e1c,JobPosting
FOR_POSTING,APP-89e03e22-d3f4-449b-b3ba-ba8836c7d6fa,Application,JOB-de53790a-a34b-4cf6-a053-da42f1afdb65,JobPosting
FOR_POSTING,APP-a689b424-7a3a-40e1-b9c7-73a0e0decc3d,Application,JOB-9e3d750d-f296-49f0-8d23-72c22bffe17b,JobPosting
