rel_type,source_id,source_type,target_id,target_type
MANAGED_BY,APP-2ff3cde4-6aa4-4c9f-9217-04753d959e3f,Application,REC-c6b33fe6-1c76-4df6-ac5a-6c93871c0884,Recruiter
MANAGED_BY,APP-b74eba93-1027-4b53-a285-b2efcfbe4fe9,Application,REC-9f708368-cb3c-48ca-a392-57316b79afcc,Recruiter
MANAGED_BY,APP-be4969ec-6667-43bb-a3b5-63606fdc0bad,Application,REC-9f708368-cb3c-48ca-a392-57316b79afcc,Recruiter
MANAGED_BY,APP-ba108217-0ad7-49a2-b277-16ec59fefbbc,Application,REC-9f708368-cb3c-48ca-a392-57316b79afcc,Recruiter
MANAGED_BY,APP-a6499cdc-507b-4072-a5e5-8f345df06e8c,Application,REC-c6b33fe6-1c76-4df6-ac5a-6c93871c0884,Recruiter
MANAGED_BY,APP-b5a5f8e6-b639-4f04-a852-4385d9f2dd0d,Application,REC-a1c7cc8a-0435-4b64-893a-d23298c3e3ca,Recruiter
MANAGED_BY,APP-20156a72-12e1-43a6-932c-ae01d2c65ee4,Application,REC-e7b7b4c6-d631-4a80-9c61-2ec210142131,Recruiter
MANAGED_BY,APP-4a27ebf2-8baa-4744-a08d-d21be3954cb1,Application,REC-0c394ec7-1f31-4405-8d18-3eba3cd5fd7f,Recruiter
MANAGED_BY,APP-d7c4fe9c-e1e0-4ffc-98f6-fd7f7eb162f1,Application,REC-a1c7cc8a-0435-4b64-893a-d23298c3e3ca,Recruiter
MANAGED_BY,APP-c3affcfe-734a-4ca3-8116-e3fc62e7c1a6,Application,REC-0c394ec7-1f31-4405-8d18-3eba3cd5fd7f,Recruiter
MANAGED_BY,APP-901bcdef-b56f-48ce-bd66-971e88476c56,Application,REC-c6b33fe6-1c76-4df6-ac5a-6c93871c0884,Recruiter
MANAGED_BY,APP-2c55aef7-f4e9-4734-9052-1700607796a3,Application,REC-a1c7cc8a-0435-4b64-893a-d23298c3e3ca,Recruiter
MANAGED_BY,APP-89e03e22-d3f4-449b-b3ba-ba8836c7d6fa,Application,REC-0c394ec7-1f31-4405-8d18-3eba3cd5fd7f,Recruiter
MANAGED_BY,APP-a689b424-7a3a-40e1-b9c7-73a0e0decc3d,Application,REC-9f708368-cb3c-48ca-a392-57316b79afcc,Recruiter
MANAGED_BY,APP-f0458043-e3a6-4a70-be71-0b558639bd41,Application,REC-9f708368-cb3c-48ca-a392-57316b79afcc,Recruiter
MANAGED_BY,APP-669d01ff-1634-425b-93f3-007383e96ef4,Application,REC-0c394ec7-1f31-4405-8d18-3eba3cd5fd7f,Recruiter
MANAGED_BY,APP-78883058-e9ad-4e9b-8c9a-a1e9b3b26337,Application,REC-a1c7cc8a-0435-4b64-893a-d23298c3e3ca,Recruiter
MANAGED_BY,APP-1dc1e7eb-711c-4673-8535-1a69dabf984e,Application,REC-c6b33fe6-1c76-4df6-ac5a-6c93871c0884,Recruiter
MANAGED_BY,APP-59077299-dc3b-4dd8-a74e-02a9220b9ea9,Application,REC-a1c7cc8a-0435-4b64-893a-d23298c3e3ca,Recruiter
MANAGED_BY,APP-d0d75e37-3bf2-425f-8a0d-2b73fe54ee4b,Application,REC-0c394ec7-1f31-4405-8d18-3eba3cd5fd7f,Recruiter
MANAGED_BY,APP-73253aa3-ec17-4298-943d-f5b3a58e83dd,Application,REC-a1c7cc8a-0435-4b64-893a-d23298c3e3ca,Recruiter
MANAGED_BY,APP-b8f0188e-fb37-4fae-8d85-63ca193e638d,Application,REC-0c394ec7-1f31-4405-8d18-3eba3cd5fd7f,Recruiter
MANAGED_BY,APP-0f09105c-f50d-4a37-a44d-9fecfd85d7fa,Application,REC-c6b33fe6-1c76-4df6-ac5a-6c93871c0884,Recruiter
