rel_type,source_id,source_type,target_id,target_type
POSTED,CMP-0-DEPT-Sales,Department,JOB-17fc695a-07a0-4a6e-8822-e8f36c031199,JobPosting
POSTED,CMP-0-DEPT-Sales,Department,JOB-cf36d58b-4737-4190-96da-1dac72ff5d2a,JobPosting
POSTED,CMP-0-DEPT-Sales,Department,JOB-1a2a73ed-562b-4f79-8374-59eef50bea63,JobPosting
POSTED,CMP-0-DEPT-Sales,Department,JOB-1ff49b78-8946-4e85-b59c-de66bacfb3d0,JobPosting
POSTED,CMP-0-DEPT-Sales,Department,JOB-3a578a8e-a948-4d99-8bbb-259911ce5dd2,JobPosting
POSTED,CMP-0-DEPT-Finance,Department,JOB-88bd6407-2bcf-4e01-a28d-efe39bf00273,JobPosting
POSTED,CMP-0-DEPT-Engineering,Department,JOB-3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,JobPosting
POSTED,CMP-0-DEPT-Engineering,Department,JOB-beb79919-3f22-4af8-a3be-d01d43cf2fde,JobPosting
POSTED,CMP-0-DEPT-Engineering,Department,JOB-2369b584-ff5e-4ff0-bf50-bde4382567b8,JobPosting
POSTED,CMP-0-DEPT-Product,Department,JOB-ff01cf99-988c-44c9-a1b1-cd2262801c45,JobPosting
POSTED,CMP-1-DEPT-Engineering,Department,JOB-87c5421e-ec24-43c5-8754-108ff4188f3f,JobPosting
POSTED,CMP-1-DEPT-Engineering,Department,JOB-ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,JobPosting
POSTED,CMP-1-DEPT-Engineering,Department,JOB-11b7e948-d0e6-4660-bc69-dee1bb5e4bcf,JobPosting
POSTED,CMP-1-DEPT-Engineering,Department,JOB-6c52c49f-9b49-4d26-9f57-c59a8715a103,JobPosting
POSTED,CMP-1-DEPT-Engineering,Department,JOB-1efa2197-7394-488f-847f-d9b4e64d1bcb,JobPosting
POSTED,CMP-1-DEPT-Design,Department,JOB-080aadfb-e7c9-4b26-9141-25c63a9bedd4,JobPosting
POSTED,CMP-1-DEPT-Marketing,Department,JOB-7914c120-c8dc-419f-be35-11287900f7f9,JobPosting
POSTED,CMP-1-DEPT-Marketing,Department,JOB-baa4b71a-dd24-47ac-b78e-edb3693dffbc,JobPosting
POSTED,CMP-1-DEPT-Marketing,Department,JOB-72d8567d-894a-45e4-b0b1-87ef310c0c00,JobPosting
POSTED,CMP-1-DEPT-Marketing,Department,JOB-db20a56e-dc81-4fe7-8eda-8bbb71710434,JobPosting
POSTED,CMP-1-DEPT-Marketing,Department,JOB-7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,JobPosting
POSTED,CMP-1-DEPT-Sales,Department,JOB-27a0c3d7-7c96-4f79-b7e9-9acaa97065e1,JobPosting
POSTED,CMP-1-DEPT-Sales,Department,JOB-958ca9ba-0cd6-40c2-8ea2-622b504867ba,JobPosting
POSTED,CMP-1-DEPT-Sales,Department,JOB-acdabacc-1165-4210-9854-3881118a9d29,JobPosting
POSTED,CMP-1-DEPT-Sales,Department,JOB-956b8c0c-a849-4b92-ab52-52e314fcdd54,JobPosting
POSTED,CMP-1-DEPT-Sales,Department,JOB-abf3e3fc-2181-4d25-a552-38a643ff5011,JobPosting
POSTED,CMP-1-DEPT-Finance,Department,JOB-48f4ef12-5e99-43d2-be89-6c64e117dac3,JobPosting
POSTED,CMP-1-DEPT-HR,Department,JOB-9ad620ab-4821-4ddb-85b8-9cd927cb6f2a,JobPosting
POSTED,CMP-1-DEPT-HR,Department,JOB-0d01280f-d89a-40c0-a87d-1c78e7c421c7,JobPosting
POSTED,CMP-1-DEPT-HR,Department,JOB-295d6fbf-430f-401d-bad4-09e2a319dcb4,JobPosting
POSTED,CMP-1-DEPT-HR,Department,JOB-e767dcea-b0e6-4969-a213-42b0f1eedba3,JobPosting
POSTED,CMP-1-DEPT-HR,Department,JOB-5d59cd2a-4eea-44e7-8ab5-4bde20a04502,JobPosting
POSTED,CMP-1-DEPT-Product,Department,JOB-2d534dd0-cf8e-4c5a-8cc5-6569f9e8a369,JobPosting
POSTED,CMP-1-DEPT-Product,Department,JOB-1bac27a7-b386-47a4-8991-603f28c13091,JobPosting
POSTED,CMP-2-DEPT-Finance,Department,JOB-d7fa2d8d-fb2c-4025-adf4-e62d6651529e,JobPosting
POSTED,CMP-2-DEPT-Finance,Department,JOB-09cb3942-43f5-4a85-bbc9-f87af668a617,JobPosting
POSTED,CMP-2-DEPT-Finance,Department,JOB-629c2ae3-1d9a-4659-82ec-9f2dfbf6e16f,JobPosting
POSTED,CMP-2-DEPT-Finance,Department,JOB-afd5dea5-89d7-4d6c-8e77-7f00ecf27e76,JobPosting
POSTED,CMP-2-DEPT-Finance,Department,JOB-1fe771d6-d917-4793-a9d3-c2e6505cc686,JobPosting
POSTED,CMP-2-DEPT-Marketing,Department,JOB-67f48ad5-4d0b-4d1a-91b0-e1d99d9262af,JobPosting
POSTED,CMP-2-DEPT-Marketing,Department,JOB-77097749-527e-4cfa-a79a-c9aa9b4e2c24,JobPosting
POSTED,CMP-2-DEPT-Design,Department,JOB-f3b63fe1-d184-4324-97e8-392a55cee5db,JobPosting
POSTED,CMP-2-DEPT-Design,Department,JOB-9c7c7377-79a2-4903-bbe3-3b243eae0032,JobPosting
POSTED,CMP-2-DEPT-Design,Department,JOB-a7f36ae9-25c7-4c44-be75-c3b4664fa663,JobPosting
POSTED,CMP-2-DEPT-Design,Department,JOB-d92c9227-eadf-4085-bfcb-75468eb22579,JobPosting
POSTED,CMP-2-DEPT-Design,Department,JOB-e45b712e-b822-4688-90a4-44329cd6c852,JobPosting
POSTED,CMP-3-DEPT-HR,Department,JOB-14a0bccb-8a47-4a87-a49d-681d51d87c64,JobPosting
