rel_type,source_id,source_type,target_id,target_type
RESULTED_IN,APP-ba108217-0ad7-49a2-b277-16ec59fefbbc,Application,OFF-08e895d7-702c-4821-8804-0fb7ad973b67,Offer
RESULTED_IN,APP-a6499cdc-507b-4072-a5e5-8f345df06e8c,Application,OFF-491b90e9-9ca3-4bb3-bf11-c8ba36ee1640,Offer
RESULTED_IN,APP-20156a72-12e1-43a6-932c-ae01d2c65ee4,Application,OFF-94a53fde-f10d-47c8-9780-c2152b2bb8e9,Offer
RESULTED_IN,APP-4a27ebf2-8baa-4744-a08d-d21be3954cb1,Application,OFF-500e15c0-b89b-4f7f-93e3-4c35ef0a573d,Offer
RESULTED_IN,APP-c3affcfe-734a-4ca3-8116-e3fc62e7c1a6,Application,OFF-0b990034-0a4e-4552-8005-1b1066c14dca,Offer
RESULTED_IN,APP-901bcdef-b56f-48ce-bd66-971e88476c56,Application,OFF-690e7e62-3432-4ec6-b0c4-a01c69b7c0fa,Offer
RESULTED_IN,APP-89e03e22-d3f4-449b-b3ba-ba8836c7d6fa,Application,OFF-548e1f6b-69ce-4e4e-99a6-92c90d700ea4,Offer
RESULTED_IN,APP-d0d75e37-3bf2-425f-8a0d-2b73fe54ee4b,Application,OFF-c12169db-2f12-4150-a05f-b1eb4cc57e0d,Offer
RESULTED_IN,APP-73253aa3-ec17-4298-943d-f5b3a58e83dd,Application,OFF-bf337a15-1e08-4f20-bdd1-51b0f64ab6ec,Offer
RESULTED_IN,APP-c8cce2c2-a518-4418-af14-b3f6d867888b,Application,OFF-90422eb7-8b04-4f53-a639-49d447c68688,Offer
RESULTED_IN,APP-1375ee90-d6b3-41e4-bb6d-ca0d6fe5040b,Application,OFF-ae007b7e-2f8c-43e5-ae8d-9644601bfbcb,Offer
RESULTED_IN,APP-71da35b9-4eea-4db8-b165-d77901547950,Application,OFF-e6b0da0a-b98f-4dbe-95ae-de0fc777a07f,Offer
RESULTED_IN,APP-65f30779-f6ee-4cdb-ad79-a2d1506e50c7,Application,OFF-11b461e9-b15d-472d-94ce-e27c4a94ae9f,Offer
RESULTED_IN,APP-52daf681-2b1a-476c-89ec-bc5198cbaa52,Application,OFF-73b5bad5-600b-4b35-aa0a-a7d5a0b85755,Offer
RESULTED_IN,APP-eec71a30-dfda-45b2-a8b2-bf214d470ed6,Application,OFF-6210def6-3a9c-4308-9221-cddf7a4a902f,Offer
RESULTED_IN,APP-d9d57b02-42d0-4d55-8aab-47b23c9d128a,Application,OFF-53ea4919-db48-42c2-95ff-2a1f370b9a29,Offer
RESULTED_IN,APP-07806e71-3811-4519-98dc-9e0b51a1f5df,Application,OFF-9770a3db-e9fa-47e2-9bd9-3609b297a782,Offer
RESULTED_IN,APP-da018d29-6060-41eb-a53e-5f4c6c7e9a2c,Application,OFF-a3fe0479-46c7-4b36-bd05-39635616af7e,Offer
RESULTED_IN,APP-a91883fc-6772-4e9f-999b-c859cf5e0f0b,Application,OFF-be848aa2-392c-44da-9af3-da5a38e59b27,Offer
RESULTED_IN,APP-19d9d0b5-a962-4996-abbe-3b5a4d15f7d8,Application,OFF-8c52d271-0a16-4e18-a90e-3e894b9c22f4,Offer
RESULTED_IN,APP-700e0efc-e4ff-431a-9b86-ea6954231dbe,Application,OFF-9c7faca6-2e67-4784-b02b-7014adab2c2f,Offer
RESULTED_IN,APP-7b5fbe41-3fa2-4de0-ba05-dd0fa9660a5a,Application,OFF-f85b6d0a-54b5-4635-bdab-161452150ed8,Offer
RESULTED_IN,APP-f34a7949-74ca-4ad7-abe5-be96a7939a2e,Application,OFF-8c357321-4abf-4f5c-8cc7-147ff6e5203c,Offer
RESULTED_IN,APP-2d852212-f554-41f8-b9a5-5cf2a66c0fa1,Application,OFF-de3790fb-9db9-4eee-9a3c-213173dd3bc6,Offer
RESULTED_IN,APP-318910ec-f6db-42b6-b993-ff63c6b18d94,Application,OFF-0a398bf7-27a1-48a0-afff-a2f4b5ae329d,Offer
RESULTED_IN,APP-5c5d3f1b-54c0-46c2-94f6-516ea9d049dc,Application,OFF-ab9b153d-35f5-4654-90c2-c2e5a07eafb1,Offer
RESULTED_IN,APP-f7222fbe-ea06-494b-a310-ff72ad62d094,Application,OFF-fd75a5f3-eeaf-4a83-8044-46bfd9f48bbd,Offer
RESULTED_IN,APP-de22dc3f-d136-4db1-9a57-860767e54646,Application,OFF-28489240-2fd9-4ce1-a676-27ca3625fc20,Offer
RESULTED_IN,APP-af82e70c-b964-4e4f-aaef-cf3b43b7a0ef,Application,OFF-79d29001-2d6b-4a4e-98a7-06099b02c535,Offer
RESULTED_IN,APP-c93c9cc6-668b-48da-8222-cd7f36e6ba85,Application,OFF-4937b90f-84a5-418b-8dcd-0a34ee462fcd,Offer
RESULTED_IN,APP-66205167-17cf-475f-898b-cf673f8dcf96,Application,OFF-d5bea8dc-33e8-4249-baad-584034ef71df,Offer
RESULTED_IN,APP-c3a6b204-fc01-4a22-aed0-b0b27da56b6e,Application,OFF-0306a258-0227-48d5-b070-1a5350ce857f,Offer
RESULTED_IN,APP-c08fe6d7-b361-470a-ab49-acc635e574e0,Application,OFF-88b3152d-845a-41b8-a172-6883d9719e00,Offer
RESULTED_IN,APP-8eb7c306-8f73-498e-9c3d-0d5f5c6801d6,Application,OFF-9afa8267-4479-4214-b5de-f8074a965478,Offer
