rel_type,source_id,source_type,target_id,target_type
SUBMITTED,CAND-24c173b9-b7f2-4572-bdef-a84993364f7e,Candidate,APP-2ff3cde4-6aa4-4c9f-9217-04753d959e3f,Application
SUBMITTED,CAND-8bc78e81-5a30-4528-8b59-95622227219f,Candidate,APP-b74eba93-1027-4b53-a285-b2efcfbe4fe9,Application
SUBMITTED,CAND-8bc78e81-5a30-4528-8b59-95622227219f,Candidate,APP-be4969ec-6667-43bb-a3b5-63606fdc0bad,Application
SUBMITTED,CAND-8bc78e81-5a30-4528-8b59-95622227219f,Candidate,APP-ba108217-0ad7-49a2-b277-16ec59fefbbc,Application
SUBMITTED,CAND-c359810a-71a6-414c-9f3c-44dc5ef787b8,Candidate,APP-a6499cdc-507b-4072-a5e5-8f345df06e8c,Application
SUBMITTED,CAND-51d08109-fc90-4838-9874-1408f7b217c7,Candidate,APP-b5a5f8e6-b639-4f04-a852-4385d9f2dd0d,Application
SUBMITTED,CAND-51d08109-fc90-4838-9874-1408f7b217c7,Candidate,APP-20156a72-12e1-43a6-932c-ae01d2c65ee4,Application
SUBMITTED,CAND-51d08109-fc90-4838-9874-1408f7b217c7,Candidate,APP-4a27ebf2-8baa-4744-a08d-d21be3954cb1,Application
SUBMITTED,CAND-3da06476-f778-4676-b50d-112e8164ceec,Candidate,APP-d7c4fe9c-e1e0-4ffc-98f6-fd7f7eb162f1,Application
SUBMITTED,CAND-3da06476-f778-4676-b50d-112e8164ceec,Candidate,APP-c3affcfe-734a-4ca3-8116-e3fc62e7c1a6,Application
SUBMITTED,CAND-fd98fe33-6498-4be9-a999-bbef518b2f21,Candidate,APP-901bcdef-b56f-48ce-bd66-971e88476c56,Application
SUBMITTED,CAND-fd98fe33-6498-4be9-a999-bbef518b2f21,Candidate,APP-2c55aef7-f4e9-4734-9052-1700607796a3,Application
SUBMITTED,CAND-b6d1f6bb-f48f-409c-89a2-24410ac4de85,Candidate,APP-89e03e22-d3f4-449b-b3ba-ba8836c7d6fa,Application
SUBMITTED,CAND-b6d1f6bb-f48f-409c-89a2-24410ac4de85,Candidate,APP-a689b424-7a3a-40e1-b9c7-73a0e0decc3d,Application
SUBMITTED,CAND-9a4ffc0c-9165-42ed-8c63-6e95025f5543,Candidate,APP-f0458043-e3a6-4a70-be71-0b558639bd41,Application
SUBMITTED,CAND-9a4ffc0c-9165-42ed-8c63-6e95025f5543,Candidate,APP-669d01ff-1634-425b-93f3-007383e96ef4,Application
SUBMITTED,CAND-22319050-f515-4494-b818-cfd33889936a,Candidate,APP-78883058-e9ad-4e9b-8c9a-a1e9b3b26337,Application
SUBMITTED,CAND-22319050-f515-4494-b818-cfd33889936a,Candidate,APP-1dc1e7eb-711c-4673-8535-1a69dabf984e,Application
SUBMITTED,CAND-72d35458-61ea-4f30-a42e-707afe2bd987,Candidate,APP-59077299-dc3b-4dd8-a74e-02a9220b9ea9,Application
SUBMITTED,CAND-8a2db2e6-3bfd-48a6-b05f-ddf566fadca0,Candidate,APP-d0d75e37-3bf2-425f-8a0d-2b73fe54ee4b,Application
SUBMITTED,CAND-2253e706-87ad-4b26-8eaa-58416aa0426d,Candidate,APP-73253aa3-ec17-4298-943d-f5b3a58e83dd,Application
SUBMITTED,CAND-2253e706-87ad-4b26-8eaa-58416aa0426d,Candidate,APP-b8f0188e-fb37-4fae-8d85-63ca193e638d,Application
SUBMITTED,CAND-2b54ff7a-5a28-47b2-8b83-83f2bb96f602,Candidate,APP-0f09105c-f50d-4a37-a44d-9fecfd85d7fa,Application
SUBMITTED,CAND-2b54ff7a-5a28-47b2-8b83-83f2bb96f602,Candidate,APP-01b158e9-0406-4f44-bce4-0679a8c6dbc0,Application
SUBMITTED,CAND-0e5d8c6a-79db-4862-8d7d-d772608e2f5c,Candidate,APP-c8cce2c2-a518-4418-af14-b3f6d867888b,Application
SUBMITTED,CAND-ca5e151b-23d3-4d4c-bd5f-f093c16f9bcc,Candidate,APP-1375ee90-d6b3-41e4-bb6d-ca0d6fe5040b,Application
SUBMITTED,CAND-ca5e151b-23d3-4d4c-bd5f-f093c16f9bcc,Candidate,APP-71da35b9-4eea-4db8-b165-d77901547950,Application
SUBMITTED,CAND-ca5e151b-23d3-4d4c-bd5f-f093c16f9bcc,Candidate,APP-3f2086c2-f1b8-4d65-806f-64d65c72aebd,Application
SUBMITTED,CAND-6e3cdd4f-55b1-45e4-b0b2-7304545cd88d,Candidate,APP-65f30779-f6ee-4cdb-ad79-a2d1506e50c7,Application
SUBMITTED,CAND-6e3cdd4f-55b1-45e4-b0b2-7304545cd88d,Candidate,APP-fd9e8e20-72f6-4958-92ef-61016082786f,Application
SUBMITTED,CAND-34f541c0-c8c5-4b2a-b490-adeb57d337d3,Candidate,APP-51a40d2a-73d3-4457-b25f-13dfb8d49848,Application
SUBMITTED,CAND-34f541c0-c8c5-4b2a-b490-adeb57d337d3,Candidate,APP-8f5242d3-54bb-4cf8-a8fe-a7618d49fe3f,Application
SUBMITTED,CAND-637ddcd6-98d3-448b-903b-4078a39c9ec6,Candidate,APP-9e0b7b01-7536-49ef-9873-dad95a1baf0e,Application
SUBMITTED,CAND-6b11b7cb-6372-4424-82c5-6b21243012da,Candidate,APP-b184d1fc-8991-401a-a2b0-3c4b7c966b55,Application
SUBMITTED,CAND-6b11b7cb-6372-4424-82c5-6b21243012da,Candidate,APP-465cc2cb-085e-4489-8ac6-678038749f3c,Application
SUBMITTED,CAND-34e50699-c8eb-427a-a3a4-e70e9dbc15c0,Candidate,APP-52daf681-2b1a-476c-89ec-bc5198cbaa52,Application
SUBMITTED,CAND-34e50699-c8eb-427a-a3a4-e70e9dbc15c0,Candidate,APP-37c3b3c9-65d0-4517-88d0-0abdcbb18c79,Application
SUBMITTED,CAND-34e50699-c8eb-427a-a3a4-e70e9dbc15c0,Candidate,APP-eec71a30-dfda-45b2-a8b2-bf214d470ed6,Application
SUBMITTED,CAND-9033da65-87cf-43fd-9183-6c4f249204c7,Candidate,APP-bf8e8bfa-a0c9-4a72-b68a-cd40b8f14e3c,Application
SUBMITTED,CAND-9033da65-87cf-43fd-9183-6c4f249204c7,Candidate,APP-7eb0f62a-3d45-44eb-b465-5a21cb35097a,Application
SUBMITTED,CAND-9033da65-87cf-43fd-9183-6c4f249204c7,Candidate,APP-6c6f6d2e-6a59-4043-8461-52348044beb2,Application
SUBMITTED,CAND-3e9639ba-0ed2-4c9d-bd17-5712d8b22277,Candidate,APP-4f2da233-0e16-4b12-9bdc-70d19cbf7b8c,Application
SUBMITTED,CAND-4350ab06-1059-4a28-861b-4f5b45a08539,Candidate,APP-911f730b-dbff-40b0-bfe6-70f30e3141ec,Application
SUBMITTED,CAND-4350ab06-1059-4a28-861b-4f5b45a08539,Candidate,APP-8409c5ea-cde9-48b3-b922-a7e42de982f8,Application
SUBMITTED,CAND-e09016b6-b186-45a8-96ee-526ba2cd1590,Candidate,APP-4eb9047d-ba2a-43d9-bcf2-fc3bd95874c2,Application
SUBMITTED,CAND-d1e91691-a320-4116-a22d-f6a48163b6ce,Candidate,APP-d9d57b02-42d0-4d55-8aab-47b23c9d128a,Application
SUBMITTED,CAND-d1e91691-a320-4116-a22d-f6a48163b6ce,Candidate,APP-67863fb3-f3bc-4a71-87f4-fee52c82989f,Application
SUBMITTED,CAND-d1e91691-a320-4116-a22d-f6a48163b6ce,Candidate,APP-5a9c0679-2c3d-47e2-ad39-da75aee70ab2,Application
SUBMITTED,CAND-e9a53368-5812-4eb2-bc13-f47ac80c2195,Candidate,APP-07806e71-3811-4519-98dc-9e0b51a1f5df,Application
SUBMITTED,CAND-e9a53368-5812-4eb2-bc13-f47ac80c2195,Candidate,APP-9a069295-3b8d-4447-8e61-065f171b1b80,Application
SUBMITTED,CAND-b18d2c8c-8fdd-4ebc-b7ff-88d4b509f08a,Candidate,APP-2099e71f-4b65-4bcc-b041-6f19bbe71835,Application
SUBMITTED,CAND-b18d2c8c-8fdd-4ebc-b7ff-88d4b509f08a,Candidate,APP-f8170ebf-6b6e-44c5-bb8a-a843702f31e5,Application
SUBMITTED,CAND-b18d2c8c-8fdd-4ebc-b7ff-88d4b509f08a,Candidate,APP-2a3d418d-a754-429f-b143-e5456e6b34b9,Application
SUBMITTED,CAND-4b6797a1-166e-4fe3-ad77-959500fa0eb4,Candidate,APP-4ab427e3-a360-4681-abbb-a89d34fadee1,Application
SUBMITTED,CAND-6319629b-d73e-4bb9-8f9c-a17b8db8dadf,Candidate,APP-da9bccc1-e71c-481a-a511-e61a143665f5,Application
SUBMITTED,CAND-6319629b-d73e-4bb9-8f9c-a17b8db8dadf,Candidate,APP-1cce08e9-6b6a-4061-881c-8d3185c69fbf,Application
