rel_type,source_id,source_type,target_id,target_type
WORKS_IN,INTV-5ec42e08-29a3-42e9-9d65-a441d58842de,Interviewer,CMP-0-DEPT-Sales,Department
WORKS_IN,INTV-4458a885-ab90-49a4-b5a2-40ae5af30553,Interviewer,CMP-0-DEPT-Sales,Department
WORKS_IN,INTV-a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,Interviewer,CMP-0-DEPT-Sales,Department
WORKS_IN,INTV-0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Interviewer,CMP-0-DEPT-Finance,Department
WORKS_IN,INTV-ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Interviewer,CMP-0-DEPT-Finance,Department
WORKS_IN,INTV-98ae4334-6c12-4ce8-ae34-0454cac5b68c,Interviewer,CMP-0-DEPT-Engineering,Department
WORKS_IN,INTV-a4161293-c4c2-42e3-844e-a7c8c0398710,Interviewer,CMP-0-DEPT-Product,Department
WORKS_IN,INTV-6f4cc69a-4b22-4308-9c8e-aee95715bd6f,Interviewer,CMP-0-DEPT-Product,Department
WORKS_IN,INTV-f42d47cc-00d4-4f59-b427-3ca3287d06ca,Interviewer,CMP-0-DEPT-Product,Department
WORKS_IN,INTV-a18ff6b6-b535-406e-922c-9a5601d74256,Interviewer,CMP-1-DEPT-Engineering,Department
WORKS_IN,INTV-922fe15a-e1e3-4b63-af7d-dc76b92da22b,Interviewer,CMP-1-DEPT-Design,Department
WORKS_IN,INTV-747b6dba-c8fe-4ccd-88b8-d9c6ed3049cf,Interviewer,CMP-1-DEPT-Marketing,Department
WORKS_IN,INTV-f512c4c3-b253-4218-ac4a-37ea490617f2,Interviewer,CMP-1-DEPT-Marketing,Department
WORKS_IN,INTV-19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Interviewer,CMP-1-DEPT-Sales,Department
WORKS_IN,INTV-8181a8cc-3691-47eb-89a2-688b12c136e0,Interviewer,CMP-1-DEPT-Sales,Department
WORKS_IN,INTV-5958a499-eeea-463e-a1e8-ac6843e42caf,Interviewer,CMP-1-DEPT-Sales,Department
WORKS_IN,INTV-1a84a51a-a9d3-47c7-ae87-905e4ca415ea,Interviewer,CMP-1-DEPT-Finance,Department
WORKS_IN,INTV-43b409ef-2260-470f-a0cc-edc5f05db76e,Interviewer,CMP-1-DEPT-Finance,Department
