rel_type,source_id,source_type,target_id,target_type
WROTE,CAND-24c173b9-b7f2-4572-bdef-a84993364f7e,Candidate,REV-3dba6da8-5844-49fc-914b-9547c9dc72b8,Review
WROTE,CAND-8bc78e81-5a30-4528-8b59-95622227219f,Candidate,REV-dda4f4a7-0c3c-4284-87e5-3bbbdcb51c53,Review
WROTE,CAND-8bc78e81-5a30-4528-8b59-95622227219f,Candidate,REV-7227890e-4e76-433a-8baf-0f5ea9320094,Review
WROTE,CAND-51d08109-fc90-4838-9874-1408f7b217c7,Candidate,REV-b807d78a-b788-45d1-bfe5-75f665edcfe3,Review
WROTE,EMP-90494583-ec86-4890-97b0-0bdc566e3cbe,Employee,REV-43c07d43-93a7-4792-8561-b8dca4364fcd,Review
WROTE,CAND-51d08109-fc90-4838-9874-1408f7b217c7,Candidate,REV-dd39d793-6257-44a2-b204-be894a4b5563,Review
WROTE,CAND-3da06476-f778-4676-b50d-112e8164ceec,Candidate,REV-31d4ee09-8fd3-4afc-91fd-fa4f0d18ab95,Review
WROTE,CAND-fd98fe33-6498-4be9-a999-bbef518b2f21,Candidate,REV-30d73df7-1c22-4cea-b355-56a5f2bd92f2,Review
WROTE,CAND-fd98fe33-6498-4be9-a999-bbef518b2f21,Candidate,REV-6133a34d-8b0e-4eb1-ad37-1d9e92cf6021,Review
WROTE,CAND-22319050-f515-4494-b818-cfd33889936a,Candidate,REV-33c08bf1-8167-499f-a723-ada38c32bdb2,Review
WROTE,CAND-22319050-f515-4494-b818-cfd33889936a,Candidate,REV-c40d4874-22ab-4752-84db-5a622e13418d,Review
WROTE,CAND-72d35458-61ea-4f30-a42e-707afe2bd987,Candidate,REV-ac09bdb7-9908-4e47-b249-f62c08987462,Review
WROTE,EMP-ea45ba41-6589-4da1-b45a-f934b42a2d93,Employee,REV-4ef4c34d-5bf8-4f3c-a612-9a1c889d4b76,Review
WROTE,CAND-2253e706-87ad-4b26-8eaa-58416aa0426d,Candidate,REV-b93b17fb-f76d-45fd-bd16-45a0d253d966,Review
WROTE,CAND-2b54ff7a-5a28-47b2-8b83-83f2bb96f602,Candidate,REV-0f79a8a7-5f8a-44bd-b4bd-0c938177b661,Review
WROTE,CAND-2b54ff7a-5a28-47b2-8b83-83f2bb96f602,Candidate,REV-a75b395a-14a3-4f7f-990d-d19bd3fbe043,Review
WROTE,EMP-9647ff9f-3508-407a-b622-d84204022b3c,Employee,REV-d5aba8ae-9112-4bc0-bd8f-95f4905f9096,Review
WROTE,EMP-12d15585-b68e-47fa-bf17-5534cc4d5819,Employee,REV-bd5a0c9e-277e-40aa-a247-541dc8ad0899,Review
WROTE,EMP-2b64777c-6177-4771-af70-de702b69c95e,Employee,REV-6f46f1b1-2ace-4aa9-9032-46b3255bfc1c,Review
WROTE,CAND-6e3cdd4f-55b1-45e4-b0b2-7304545cd88d,Candidate,REV-15fa9483-f633-4c2d-aba9-00e16a7d5d96,Review
WROTE,CAND-6b11b7cb-6372-4424-82c5-6b21243012da,Candidate,REV-59c2f153-b06b-4f0c-9682-2e22bcd4344f,Review
WROTE,EMP-efb3b939-b1d8-4887-8739-cc7bbff30c8d,Employee,REV-d8dff535-c62d-4aea-9e70-bd3000a21367,Review
WROTE,CAND-34e50699-c8eb-427a-a3a4-e70e9dbc15c0,Candidate,REV-02106371-0260-4123-b1ef-e72aae13591e,Review
WROTE,CAND-4350ab06-1059-4a28-861b-4f5b45a08539,Candidate,REV-45712959-51e7-44e4-b864-ca08ea75752d,Review
WROTE,CAND-d1e91691-a320-4116-a22d-f6a48163b6ce,Candidate,REV-cebeabaa-2859-4b34-9725-d2c71eb2a7b8,Review
WROTE,CAND-d1e91691-a320-4116-a22d-f6a48163b6ce,Candidate,REV-d259f960-6ee3-4607-92ea-1324ec93e596,Review
WROTE,CAND-e9a53368-5812-4eb2-bc13-f47ac80c2195,Candidate,REV-6fd69b3a-f2dd-4456-bb7b-6c0528522ca2,Review
WROTE,CAND-b18d2c8c-8fdd-4ebc-b7ff-88d4b509f08a,Candidate,REV-41b455b8-59b9-422c-915a-ffacb173fcdf,Review
WROTE,CAND-b18d2c8c-8fdd-4ebc-b7ff-88d4b509f08a,Candidate,REV-925f8199-6495-4d5f-8cb4-e891188df23b,Review
WROTE,CAND-4b6797a1-166e-4fe3-ad77-959500fa0eb4,Candidate,REV-15f0ea19-18c1-40d2-aadf-3692b24beb96,Review
WROTE,CAND-f96671a5-4cec-495b-a267-16e33a5b6ac5,Candidate,REV-659e0258-814f-4657-b6d7-0561d2d14ef5,Review
WROTE,CAND-99e4704c-2c56-40cd-a5ba-247221df5609,Candidate,REV-8f1cb2cc-ceef-4fa8-b9a5-d4d0423701f1,Review
WROTE,EMP-4b46ef33-95e7-4614-82b4-02815f269466,Employee,REV-f1bdb598-948f-464a-9565-257ba267d32f,Review
WROTE,CAND-0dd70158-69c1-45ae-8c61-0ae887a37f10,Candidate,REV-6744cb9e-6ded-4ba5-a22c-3d4f6f07b60f,Review
WROTE,CAND-bb0c7919-330c-4ff5-88a5-fa0d09a85dc5,Candidate,REV-2196b3b5-fc21-409b-ba27-bc64396d1ffb,Review
WROTE,CAND-40b374f8-8c1a-42c7-9fa3-ed1f61584f88,Candidate,REV-d4dd1b56-4353-41b2-8728-50c13322c68b,Review
WROTE,EMP-d6aa5382-e144-4b45-af39-0a9ddcd1c413,Employee,REV-1036ca81-0bc4-47ba-b0d0-ebcb6949ece5,Review
WROTE,CAND-b9493906-939f-44eb-be5e-215ec47cc30b,Candidate,REV-1744ee3f-d36e-41bd-800b-1f5e8c91bd13,Review
WROTE,EMP-7e0f60b2-2a06-4609-a599-bd3c0bb81d38,Employee,REV-ee22a70b-1ee9-4260-b002-d8313227e8d8,Review
WROTE,CAND-0be7728e-6a1a-4a9d-81d4-8a101b968925,Candidate,REV-afc5c20e-4a63-4af5-b6e1-e7ac9fc97264,Review
WROTE,EMP-c8c85ad6-82cb-4dc7-bcd3-0e99638e1388,Employee,REV-f9cf8499-c9c1-4d45-b4ea-6b976aa415b5,Review
WROTE,CAND-c7eab19b-de6c-436b-9edd-218233fd862d,Candidate,REV-95801c3a-2932-4211-a14c-0a4d43a534d2,Review
WROTE,CAND-c7eab19b-de6c-436b-9edd-218233fd862d,Candidate,REV-838e9a61-5200-444b-b148-7df8a6ca8d50,Review
WROTE,CAND-bf2b43b4-22e9-4527-b849-1ecc889157fd,Candidate,REV-40b3af7c-d5b2-41a9-9dec-2b8338858f7e,Review
WROTE,CAND-bf2b43b4-22e9-4527-b849-1ecc889157fd,Candidate,REV-7ade4367-e0bd-402c-94e1-4f3abba41ae0,Review
WROTE,CAND-a7668617-78db-4de3-8a28-4792ffaca645,Candidate,REV-df482e7c-a8cf-4f62-90d9-170cf2dec75c,Review
WROTE,CAND-2baa43c9-7b4e-4ecd-9e07-87b178ae8d5d,Candidate,REV-40f7924b-7bd7-44bf-8e0e-abb78f20c5e7,Review
WROTE,EMP-9d7d1756-3b4e-49f5-b2cd-9a0a840c5cb0,Employee,REV-163b5481-284e-4cd4-b9c3-ee050012d399,Review
WROTE,CAND-89b4094a-e048-41de-81f8-3199f4eae769,Candidate,REV-5a64845e-f498-46ad-a994-bf8450d3ba03,Review
WROTE,EMP-9cdf0664-5c91-4845-934f-c96d19ca9c1b,Employee,REV-9cf3137e-f562-437b-b8aa-16ea44f7f01a,Review
